epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8248,2.16627,1.32878,1.29075,0.32409,0.27357,0.23933,0.09044,2.1735,1.54341,1.45216,0.000552237,0.000552237,0.000552237
2,71.0339,2.19355,1.37169,1.29141,0.36674,0.30252,0.26806,0.10126,2.15586,1.54248,1.4602,0.00110242,0.00110242,0.00110242
3,105.018,2.21583,1.38455,1.30876,0.41581,0.32744,0.29881,0.11239,2.10518,1.49543,1.45579,0.0016471,0.0016471,0.0016471
4,138.75,2.20333,1.36877,1.30602,0.30856,0.30397,0.25938,0.09833,2.11682,1.45334,1.46248,0.00164225,0.00164225,0.00164225
5,172.908,2.17388,1.33459,1.29277,0.4067,0.31641,0.30138,0.11103,2.10897,1.64364,1.43179,0.00163399,0.00163399,0.00163399
6,206.368,2.14393,1.32711,1.29326,0.41486,0.34704,0.30692,0.11299,2.13165,1.46943,1.42375,0.00162574,0.00162574,0.00162574
7,240.461,2.14603,1.29211,1.27891,0.44108,0.3511,0.33865,0.12991,2.06401,1.42596,1.41331,0.00161749,0.00161749,0.00161749
8,274.432,2.12078,1.27665,1.27084,0.39341,0.34081,0.32136,0.12952,2.03303,1.42642,1.38426,0.00160924,0.00160924,0.00160924
9,307.887,2.10884,1.24731,1.25468,0.45152,0.34431,0.3632,0.14161,2.0561,1.35752,1.40321,0.00160099,0.00160099,0.00160099
10,341.456,2.10032,1.23996,1.25285,0.40107,0.37579,0.32216,0.12909,2.06695,1.36555,1.38862,0.00159274,0.00159274,0.00159274
11,375.258,2.07913,1.2224,1.25154,0.46607,0.36029,0.37298,0.15175,2.02799,1.31018,1.37951,0.00158448,0.00158448,0.00158448
12,409.131,2.08023,1.21315,1.23642,0.40614,0.39219,0.34758,0.14153,2.02131,1.32046,1.37038,0.00157623,0.00157623,0.00157623
13,442.363,2.06315,1.20257,1.24236,0.43375,0.37278,0.35551,0.14855,2.0573,1.36,1.3798,0.00156798,0.00156798,0.00156798
14,475.956,2.05022,1.18805,1.23653,0.48155,0.38766,0.38408,0.15283,2.03634,1.32653,1.38072,0.00155973,0.00155973,0.00155973
15,509.979,2.0396,1.17881,1.23196,0.49668,0.41219,0.40379,0.15994,2.0058,1.30248,1.35874,0.00155148,0.00155148,0.00155148
16,543.817,2.04197,1.18586,1.23693,0.5177,0.43424,0.42429,0.16707,2.00734,1.26888,1.36992,0.00154323,0.00154323,0.00154323
17,577.213,2.02775,1.16594,1.22522,0.49912,0.43164,0.40359,0.17194,2.01336,1.27804,1.3722,0.00153497,0.00153497,0.00153497
18,610.533,2.01957,1.16073,1.22594,0.4592,0.41063,0.38183,0.15657,2.01646,1.26896,1.37677,0.00152672,0.00152672,0.00152672
19,643.506,2.00819,1.14727,1.22019,0.40356,0.4324,0.35979,0.15508,2.00858,1.26748,1.36781,0.00151847,0.00151847,0.00151847
20,676.911,2.0224,1.1482,1.21897,0.44636,0.38735,0.3705,0.15573,1.99866,1.29246,1.37432,0.00151022,0.00151022,0.00151022
21,709.959,1.98758,1.13227,1.21735,0.50207,0.42992,0.41029,0.16419,1.99322,1.27147,1.35751,0.00150197,0.00150197,0.00150197
22,743.825,2.01081,1.12704,1.20939,0.44944,0.3973,0.36181,0.15081,1.99975,1.28016,1.36678,0.00149372,0.00149372,0.00149372
23,777.179,1.99309,1.11591,1.20044,0.47327,0.41397,0.38554,0.15727,2.00856,1.2683,1.37454,0.00148546,0.00148546,0.00148546
24,810.386,1.98183,1.1162,1.20649,0.50457,0.43394,0.41316,0.17173,2.03322,1.24388,1.36729,0.00147721,0.00147721,0.00147721
25,844.036,1.98348,1.11235,1.20121,0.49299,0.43201,0.40686,0.17744,2.01822,1.24253,1.36547,0.00146896,0.00146896,0.00146896
26,877.634,1.97576,1.10241,1.2029,0.47262,0.42335,0.3863,0.14706,2.00251,1.24413,1.36387,0.00146071,0.00146071,0.00146071
27,911.126,1.97412,1.10088,1.1975,0.53368,0.41194,0.4003,0.16686,1.99848,1.2261,1.35588,0.00145246,0.00145246,0.00145246
28,944.179,1.96167,1.09801,1.2003,0.42769,0.41169,0.35806,0.14735,2.01647,1.27709,1.37124,0.00144421,0.00144421,0.00144421
29,977.587,1.96287,1.09506,1.19348,0.54272,0.43525,0.4139,0.17375,2.00619,1.22881,1.36493,0.00143595,0.00143595,0.00143595
30,1011,1.95845,1.08396,1.19296,0.51982,0.43669,0.40947,0.17452,2.00642,1.23184,1.35595,0.0014277,0.0014277,0.0014277
31,1044.19,1.95415,1.07869,1.19076,0.51258,0.39126,0.38361,0.16162,1.99731,1.2389,1.35897,0.00141945,0.00141945,0.00141945
32,1077.69,1.94013,1.07241,1.18462,0.54388,0.4104,0.41876,0.17836,1.97815,1.20944,1.34811,0.0014112,0.0014112,0.0014112
33,1112.1,1.93845,1.066,1.19189,0.4266,0.41848,0.36875,0.15248,1.9953,1.26719,1.34426,0.00140295,0.00140295,0.00140295
34,1145.34,1.93105,1.06179,1.18612,0.47257,0.40696,0.37875,0.15843,2.01417,1.21139,1.36535,0.0013947,0.0013947,0.0013947
35,1178.97,1.93669,1.05832,1.18251,0.46852,0.43098,0.39734,0.1733,1.99351,1.21883,1.35098,0.00138644,0.00138644,0.00138644
36,1213.06,1.91515,1.04771,1.17558,0.42941,0.48391,0.37707,0.16199,1.97961,1.25623,1.35839,0.00137819,0.00137819,0.00137819
37,1246.76,1.91507,1.0553,1.18333,0.46671,0.43141,0.37267,0.15539,1.98646,1.21242,1.36205,0.00136994,0.00136994,0.00136994
38,1280.88,1.93623,1.05665,1.18285,0.51174,0.422,0.41099,0.17349,1.98578,1.19469,1.35211,0.00136169,0.00136169,0.00136169
39,1314.38,1.91576,1.04105,1.17611,0.45032,0.52352,0.39084,0.16426,1.99289,1.20941,1.35511,0.00135344,0.00135344,0.00135344
